TITLE = "Cavity Iterative Residual History"
variables="Iteration""Time(s)""Res1""Res2""Res3"
800 7.812500e-02 1.232842e+00 2.476921e+00 1.279473e+00
810 7.910156e-02 1.260547e+00 2.408905e+00 1.236379e+00
820 8.007812e-02 1.283685e+00 2.337673e+00 1.199334e+00
830 8.105469e-02 1.302387e+00 2.264197e+00 1.169183e+00
840 8.203125e-02 1.316795e+00 2.189556e+00 1.146597e+00
850 8.300781e-02 1.327055e+00 2.114890e+00 1.131995e+00
860 8.398437e-02 1.333304e+00 2.041353e+00 1.125483e+00
870 8.496094e-02 1.335674e+00 1.970059e+00 1.126832e+00
880 8.593750e-02 1.334293e+00 1.902033e+00 1.135498e+00
890 8.691406e-02 1.329284e+00 1.838164e+00 1.150669e+00
900 8.789062e-02 1.320770e+00 1.779172e+00 1.171344e+00
910 8.886719e-02 1.308875e+00 1.725578e+00 1.196404e+00
920 8.984375e-02 1.293727e+00 1.677697e+00 1.224692e+00
930 9.082031e-02 1.275453e+00 1.635631e+00 1.255067e+00
940 9.179687e-02 1.254186e+00 1.599289e+00 1.286443e+00
950 9.277344e-02 1.230064e+00 1.568404e+00 1.317821e+00
960 9.375000e-02 1.203230e+00 1.542567e+00 1.348302e+00
970 9.472656e-02 1.173837e+00 1.521265e+00 1.377097e+00
980 9.570312e-02 1.142051e+00 1.503914e+00 1.403539e+00
990 9.667969e-02 1.108047e+00 1.489904e+00 1.427082e+00
1000 9.765625e-02 1.072023e+00 1.478633e+00 1.447314e+00
1010 9.863281e-02 1.034200e+00 1.469543e+00 1.463960e+00
1020 9.960937e-02 9.948305e-01 1.462147e+00 1.476884e+00
1030 1.005859e-01 9.542062e-01 1.456051e+00 1.486092e+00
1040 1.015625e-01 9.126695e-01 1.450962e+00 1.491727e+00
1050 1.025391e-01 8.706261e-01 1.446689e+00 1.494059e+00
1060 1.035156e-01 8.285582e-01 1.443133e+00 1.493473e+00
1070 1.044922e-01 7.870377e-01 1.440270e+00 1.490445e+00
1080 1.054687e-01 7.467363e-01 1.438123e+00 1.485518e+00
1090 1.064453e-01 7.084296e-01 1.436738e+00 1.479270e+00
1100 1.074219e-01 6.729864e-01 1.436157e+00 1.472286e+00
1110 1.083984e-01 6.413388e-01 1.436396e+00 1.465118e+00
1120 1.093750e-01 6.144200e-01 1.437425e+00 1.458261e+00
1130 1.103516e-01 5.930736e-01 1.439161e+00 1.452122e+00
1140 1.113281e-01 5.779317e-01 1.441462e+00 1.447001e+00
1150 1.123047e-01 5.692968e-01 1.444139e+00 1.443079e+00
1160 1.132812e-01 5.670569e-01 1.446959e+00 1.440414e+00
1170 1.142578e-01 5.706669e-01 1.449668e+00 1.438944e+00
1180 1.152344e-01 5.792190e-01 1.451998e+00 1.438496e+00
1190 1.162109e-01 5.915560e-01 1.453690e+00 1.438805e+00
1200 1.171875e-01 6.064095e-01 1.454502e+00 1.439532e+00
1210 1.181641e-01 6.225169e-01 1.454222e+00 1.440284e+00
1220 1.191406e-01 6.387071e-01 1.452675e+00 1.440638e+00
1230 1.201172e-01 6.539492e-01 1.449729e+00 1.440158e+00
1240 1.210937e-01 6.673758e-01 1.445294e+00 1.438411e+00
1250 1.220703e-01 6.782923e-01 1.439324e+00 1.434988e+00
1260 1.230469e-01 6.861727e-01 1.431808e+00 1.429508e+00
1270 1.240234e-01 6.906512e-01 1.422772e+00 1.421633e+00
1280 1.250000e-01 6.915151e-01 1.412266e+00 1.411071e+00
1290 1.259766e-01 6.886935e-01 1.400359e+00 1.397584e+00
1300 1.269531e-01 6.822481e-01 1.387131e+00 1.380990e+00
1310 1.279297e-01 6.723623e-01 1.372666e+00 1.361168e+00
